                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1697,                 3.2061,                  1.187,                 1.0979,                0.64854,                0.35498,                   0.39,                0.25459,                0.61358,                0.30663,                0.31916,                0.15691,                  1.225,                 3.0544,                0.97351,                 1.0342,              0.0033199,              0.0033199,              0.0033199
                      2,                 1.1157,                 2.8948,                0.88578,                  1.053,                 0.6026,                0.37278,                0.40154,                0.25767,                0.54666,                0.32913,                 0.3326,                0.18118,                 1.2091,                 3.0143,                0.88488,                 1.0205,              0.0066313,              0.0066313,              0.0066313
                      3,                 1.1617,                 2.9427,                0.89627,                 1.0719,                0.60947,                0.37094,                0.38493,                0.24678,                0.55278,                0.30764,                0.29863,                0.15931,                 1.2523,                 3.2112,                0.96221,                  1.025,              0.0099206,              0.0099206,              0.0099206
                      4,                 1.2052,                 2.9908,                  0.912,                 1.0893,                0.62257,                0.32438,                0.35192,                0.22801,                 0.5713,                0.28732,                0.29203,                0.15619,                 1.3025,                 3.1394,                0.94818,                 1.0581,               0.009901,               0.009901,               0.009901
                      5,                 1.1988,                 2.9538,                0.87825,                 1.0903,                 0.5792,                0.33319,                0.36237,                0.23254,                0.50908,                0.28745,                0.29259,                0.15792,                 1.2871,                  3.101,                0.92878,                 1.0638,               0.009901,               0.009901,               0.009901
                      6,                 1.1935,                 2.9236,                0.87045,                 1.0849,                 0.5617,                0.36102,                0.37177,                0.23617,                0.51578,                0.29479,                 0.3016,                0.15843,                 1.2765,                 3.0657,                0.92998,                 1.0534,               0.009868,               0.009868,               0.009868
                      7,                 1.1783,                 2.8973,                0.84453,                 1.0816,                0.48505,                0.36434,                0.38774,                 0.2466,                 0.4464,                0.30293,                0.32083,                0.17344,                 1.2496,                 3.0534,                0.88828,                 1.0403,               0.009835,               0.009835,               0.009835
                      8,                 1.1658,                 2.8575,                0.83385,                 1.0783,                0.53056,                0.37309,                0.37802,                 0.2424,                 0.4771,                0.32872,                0.31442,                0.15981,                 1.3418,                 3.0512,                0.95488,                 1.0947,               0.009802,               0.009802,               0.009802
                      9,                 1.1569,                 2.8448,                0.82412,                 1.0742,                0.64072,                0.37691,                0.39732,                0.25335,                 0.5781,                 0.3244,                0.32032,                0.17218,                 1.2392,                 3.0017,                0.87277,                  1.039,               0.009769,               0.009769,               0.009769
                     10,                 1.1446,                 2.7965,                0.80859,                 1.0673,                0.54908,                0.40445,                0.41129,                0.26865,                 0.4924,                0.34218,                0.33491,                0.18559,                 1.2319,                  2.987,                0.86648,                 1.0383,               0.009736,               0.009736,               0.009736
